num_voters,strategic_voting_risk,overall_happiness
2,1.0,0.385
3,0.6666666666666666,0.4266666666666667
4,0.5,0.34500000000000003
5,0.4,0.35600000000000004
6,0.6666666666666666,0.37833333333333335
7,0.5714285714285714,0.27714285714285714
8,0.75,0.22999999999999998
9,0.6666666666666666,0.3055555555555555
10,0.9,0.24100000000000002
12,0.8333333333333334,0.1925
15,0.7333333333333333,0.2126666666666667
20,0.5,0.2365
25,0.64,0.2236
30,0.6666666666666666,0.19166666666666668
40,0.5,0.18025
50,0.4,0.177
