num_alternatives,strategic_voting_risk,overall_happiness
2,0.0,0.7853333333333332
3,0.0,0.6639999999999999
4,0.06666666666666667,0.6346666666666666
5,0.5333333333333333,0.48800000000000004
6,0.6,0.4406666666666667
7,0.5333333333333333,0.48799999999999993
8,0.6,0.3346666666666666
9,0.6666666666666666,0.33133333333333337
10,0.6666666666666666,0.27599999999999997
12,0.8666666666666667,0.21333333333333335
15,0.7333333333333333,0.20866666666666664
20,0.5333333333333333,0.24666666666666667
25,0.6,0.148
30,0.8,0.22666666666666663
40,0.6666666666666666,0.16066666666666668
50,0.8666666666666667,0.092
75,0.8666666666666667,0.09933333333333334
100,0.6,0.126
150,0.6,0.06733333333333333
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,1.2,0.0
7,0.4,0.0
