max_rounds,strategic_voting_risk,overall_happiness
0,0.0,0.10950000000000001
1,0.05,0.10250000000000001
2,0.1,0.08600000000000001
3,0.15,0.14150000000000001
4,0.2,0.14400000000000002
5,0.25,0.151
7,0.35,0.154
10,0.5,0.1065
15,0.7,0.14500000000000002
20,0.7,0.14500000000000002
25,0.7,0.14500000000000002
30,0.7,0.14500000000000002
40,0.7,0.14500000000000002
50,0.7,0.14500000000000002


